candidate_id,city,region,population,competitor_count,avg_annual_income,market_growth_rate,demand_index,expected_annual_revenue,estimated_annual_rent,market_size_index,raw_score,demand_score,growth_score,income_score,competition_score,cost_score,opportunity_score,recommendation,rank
C01,Noida,North,750000,55,360000,0.095,2.3,3493150.56,435186.16,2700000.0,-3.48,67.85714285714285,100.0,100.0,56.33802816901409,44.23250369195184,73.26,High Priority,1
C06,Mysuru,South,550000,32,210000,0.09,2.01,2961611.13,459513.76,1155000.0,-0.5,50.595238095238095,87.49999999999999,28.57142857142857,88.73239436619718,36.6771355950927,60.21,Medium Priority,2
C03,Nashik,West,650000,42,190000,0.085,1.97,2697683.98,370753.9,1235000.0,-3.64,48.21428571428572,75.00000000000001,19.047619047619047,74.64788732394366,64.24308597760813,56.89,Medium Priority,3
C02,Thane,West,1100000,95,340000,0.075,2.84,4404749.9,515956.31,3740000.0,-3.86,100.0,49.999999999999986,90.47619047619048,0.0,19.147899600774494,56.44,Medium Priority,4
C16,Raipur,Central,700000,38,165000,0.09,2.15,3318168.33,555715.49,1155000.0,2.49,58.92857142857143,87.49999999999999,7.142857142857142,80.28169014084507,6.79998035969524,53.33,Low Priority,5
C10,Mangaluru,South,500000,28,190000,0.08,1.48,2088680.71,311265.19,950000.0,-5.2,19.04761904761905,62.5,19.047619047619047,94.36619718309859,82.71836104203308,52.35,Low Priority,6
C20,Vellore,South,450000,24,160000,0.07,1.73,2646251.79,309567.04,720000.0,-1.91,33.92857142857144,37.500000000000014,4.761904761904762,100.0,83.24575167381269,50.88,Low Priority,7
C05,Rajkot,West,600000,40,205000,0.08,1.88,2767603.36,467574.96,1230000.0,-5.5,42.857142857142854,62.5,26.190476190476193,77.46478873239437,34.173586815007496,49.9,Low Priority,8
C07,Vijayawada,South,700000,38,175000,0.085,1.8,2526932.56,459830.45,1225000.0,-1.15,38.0952380952381,75.00000000000001,11.904761904761903,80.28169014084507,36.57878189301793,49.76,Low Priority,9
C13,Dehradun,North,500000,30,205000,0.085,1.37,2058336.2,390631.96,1025000.0,-7.79,12.50000000000001,75.00000000000001,26.190476190476193,91.54929577464789,58.069601525732416,49.7,Low Priority,10
C18,Guwahati,East,600000,34,175000,0.085,1.54,2438164.84,406871.68,1050000.0,-4.74,22.619047619047628,75.00000000000001,11.904761904761903,85.91549295774648,53.02606815664032,48.71,Low Priority,11
C04,Vadodara,West,700000,48,220000,0.075,1.97,2779310.69,449986.6,1540000.0,-5.44,48.21428571428572,49.999999999999986,33.33333333333333,66.19718309859155,39.63596428011188,48.65,Low Priority,12
C08,Visakhapatnam,South,850000,55,185000,0.075,2.12,2916904.3,437126.74,1572500.0,-2.43,57.14285714285715,49.999999999999986,16.666666666666664,56.33802816901409,43.62982211952369,47.45,Low Priority,13
C09,Madurai,South,600000,34,165000,0.07,1.51,2376023.35,262794.71,990000.0,-5.49,20.83333333333334,37.500000000000014,7.142857142857142,85.91549295774648,97.77172916019715,46.67,Low Priority,14
C23,Meerut,North,800000,48,175000,0.07,1.94,2842138.68,358502.93,1400000.0,-2.49,46.42857142857143,37.500000000000014,11.904761904761903,66.19718309859155,68.04784221717054,46.66,Low Priority,15
C17,Ranchi,East,650000,36,155000,0.08,1.8,2601456.43,460683.09,1007500.0,-1.73,38.0952380952381,62.5,2.380952380952381,83.09859154929578,36.31397940308443,46.35,Low Priority,16
C24,Jamshedpur,East,550000,30,155000,0.06,1.7,2264575.14,274253.6,852500.0,-3.0,32.142857142857146,12.499999999999993,2.380952380952381,91.54929577464789,94.21296742737444,44.94,Low Priority,17
C19,Cuttack,East,500000,25,150000,0.075,1.27,1935353.66,294923.13,750000.0,-5.0,6.547619047619054,49.999999999999986,0.0,98.59154929577464,87.7936779150891,44.85,Low Priority,18
C21,Aurangabad,West,600000,33,170000,0.065,1.66,2616710.75,354960.41,1020000.0,-3.44,29.761904761904763,25.000000000000007,9.523809523809524,87.32394366197184,69.14803469774756,43.19,Low Priority,19
C22,Gwalior,Central,500000,28,150000,0.065,1.59,2243625.02,328335.31,750000.0,-4.56,25.595238095238106,25.000000000000007,0.0,94.36619718309859,77.4169322098607,43.16,Low Priority,20
C15,Jodhpur,North,550000,35,170000,0.07,1.16,1834350.09,273794.91,935000.0,-11.8,0.0,37.500000000000014,9.523809523809524,84.50704225352112,94.35542175054435,39.98,Low Priority,21
C12,Agra,North,900000,50,160000,0.065,1.45,2239709.13,255619.88,1440000.0,-5.82,17.261904761904763,25.000000000000007,4.761904761904762,63.38028169014084,100.0,38.57,Low Priority,22
C14,Amritsar,North,450000,26,180000,0.055,1.87,2755084.31,505259.46,810000.0,-2.75,42.26190476190477,0.0,14.285714285714285,97.1830985915493,22.46999628219342,37.63,Low Priority,23
C11,Kanpur,North,1200000,65,165000,0.06,2.49,3310675.13,577610.81,1980000.0,5.02,79.16666666666669,12.499999999999993,7.142857142857142,42.25352112676056,0.0,35.77,Low Priority,24
