store_id,month,revenue
S001,2025-01,142846.92
S001,2025-02,173810.11
S001,2025-03,158872.61
S001,2025-04,169469.77
S001,2025-05,176589.1
S001,2025-06,183061.52
S001,2025-07,188649.63
S001,2025-08,187198.61
S001,2025-09,186066.06
S001,2025-10,207412.06
S001,2025-11,220958.48
S001,2025-12,217494.01
S002,2025-01,208912.8
S002,2025-02,207067.33
S002,2025-03,220053.7
S002,2025-04,216439.24
S002,2025-05,232172.35
S002,2025-06,239384.95
S002,2025-07,218964.57
S002,2025-08,229873.64
S002,2025-09,250749.86
S002,2025-10,283141.32
S002,2025-11,301955.78
S002,2025-12,299255.71
S003,2025-01,100979.21
S003,2025-02,102283.25
S003,2025-03,112717.21
S003,2025-04,98216.32
S003,2025-05,124526.85
S003,2025-06,105311.97
S003,2025-07,126227.52
S003,2025-08,122968.99
S003,2025-09,107334.39
S003,2025-10,114855.2
S003,2025-11,158203.55
S003,2025-12,147686.12
S004,2025-01,121410.11
S004,2025-02,118643.82
S004,2025-03,137151.96
S004,2025-04,139093.28
S004,2025-05,150330.73
S004,2025-06,148814.86
S004,2025-07,160766.58
S004,2025-08,154253.58
S004,2025-09,158275.16
S004,2025-10,159244.34
S004,2025-11,176998.43
S004,2025-12,170601.69
S005,2025-01,166408.89
S005,2025-02,144374.74
S005,2025-03,160241.09
S005,2025-04,144493.43
S005,2025-05,174535.19
S005,2025-06,193032.25
S005,2025-07,166154.97
S005,2025-08,203711.93
S005,2025-09,182107.51
S005,2025-10,165104.85
S005,2025-11,210091.81
S005,2025-12,217449.99
S006,2025-01,282422.49
S006,2025-02,258481.43
S006,2025-03,288943.56
S006,2025-04,259593.72
S006,2025-05,272755.66
S006,2025-06,262432.15
S006,2025-07,285108.32
S006,2025-08,304269.24
S006,2025-09,307147.99
S006,2025-10,339294.19
S006,2025-11,342808.74
S006,2025-12,324755.92
S007,2025-01,55821.3
S007,2025-02,52157.49
S007,2025-03,61841.27
S007,2025-04,58140.27
S007,2025-05,59797.92
S007,2025-06,64172.38
S007,2025-07,62612.02
S007,2025-08,59051.49
S007,2025-09,61881.33
S007,2025-10,72332.6
S007,2025-11,72549.78
S007,2025-12,79706.18
S008,2025-01,145436.73
S008,2025-02,152748.61
S008,2025-03,152568.93
S008,2025-04,156618.79
S008,2025-05,170635.28
S008,2025-06,181730.16
S008,2025-07,172844.13
S008,2025-08,172885.37
S008,2025-09,188392.31
S008,2025-10,201302.18
S008,2025-11,214285.76
S008,2025-12,197770.42
S009,2025-01,131636.07
S009,2025-02,126717.49
S009,2025-03,139354.94
S009,2025-04,133563.25
S009,2025-05,148156.02
S009,2025-06,143026.57
S009,2025-07,159455.31
S009,2025-08,144835.98
S009,2025-09,150721.33
S009,2025-10,170864.2
S009,2025-11,186282.36
S009,2025-12,197715.28
S010,2025-01,311377.7
S010,2025-02,336273.51
S010,2025-03,379790.36
S010,2025-04,361252.77
S010,2025-05,361818.64
S010,2025-06,370051.2
S010,2025-07,361293.17
S010,2025-08,421694.86
S010,2025-09,400702.35
S010,2025-10,424580.88
S010,2025-11,429076.49
S010,2025-12,422462.95
S011,2025-01,168834.7
S011,2025-02,155236.67
S011,2025-03,173823.81
S011,2025-04,180195.41
S011,2025-05,164421.17
S011,2025-06,201275.68
S011,2025-07,200519.04
S011,2025-08,173763.06
S011,2025-09,149839.08
S011,2025-10,194954.26
S011,2025-11,224843.61
S011,2025-12,202964.77
S012,2025-01,437674.58
S012,2025-02,413268.39
S012,2025-03,486692.73
S012,2025-04,485043.85
S012,2025-05,519244.43
S012,2025-06,537337.2
S012,2025-07,452146.0
S012,2025-08,486976.08
S012,2025-09,510521.79
S012,2025-10,643662.27
S012,2025-11,634522.68
S012,2025-12,620672.15
S013,2025-01,494558.37
S013,2025-02,543326.01
S013,2025-03,607719.43
S013,2025-04,630291.91
S013,2025-05,635362.69
S013,2025-06,627285.14
S013,2025-07,641538.77
