store_id,city,region,annual_revenue,operating_cost,profit,profit_margin_pct,annual_footfall,annual_rent,competitor_count
S001,Kolkata,East,2143507.68,1487945.12,655562.56,30.58,14189,288025.31,60
S002,Gurugram,North,2772967.32,1871598.65,901368.67,32.51,16646,424643.89,46
S003,Bhubaneswar,East,1407835.62,939303.68,468531.94,33.28,10048,139174.29,16
S004,Surat,West,1739885.48,1148922.66,590962.82,33.97,11545,209058.33,42
S005,Ahmedabad,West,2060575.04,1526645.99,533929.04,25.91,14118,273853.61,57
S006,Kolkata,East,3469681.16,2762190.85,707490.31,20.39,21810,363516.38,59
S007,Kochi,South,752728.61,529395.53,223333.08,29.67,4812,114963.97,12
S008,Surat,West,2061507.61,1425036.86,636470.75,30.87,13511,272532.47,38
S009,Surat,West,1786913.9,1298760.98,488152.92,27.32,11456,225115.93,26
S010,Hyderabad,South,4664009.02,3119406.32,1544602.7,33.12,30658,565832.92,55
S011,Ahmedabad,West,2130574.69,1429153.46,701421.23,32.92,14072,210309.03,53
S012,Bengaluru,South,6041902.53,3924924.93,2116977.6,35.04,40221,485260.37,80
S013,Mumbai,West,7522043.2,5687725.95,1834317.25,24.39,48863,1014706.26,120
S014,Indore,Central,938154.92,692864.32,245290.6,26.15,6061,101599.96,18
S015,Pune,West,2742520.84,2239774.62,502746.23,18.33,19544,367033.41,51
S016,Mumbai,West,6194427.74,4027266.99,2167160.76,34.99,43036,863524.45,105
S017,Delhi,North,4472350.25,3408959.11,1063391.14,23.78,29201,712626.25,84
S018,Indore,Central,1497434.79,1210084.02,287350.77,19.19,10368,256717.04,4
S019,Indore,Central,2240531.46,1482815.82,757715.65,33.82,15722,266253.34,15
S020,Coimbatore,South,1636772.51,1072071.24,564701.27,34.5,10923,159407.57,23
S021,Lucknow,North,2262859.64,1488376.52,774483.12,34.23,15222,224262.39,35
S022,Chandigarh,North,975723.76,772055.92,203667.84,20.87,7333,164912.79,13
S023,Bhubaneswar,East,1568610.74,1089332.01,479278.73,30.55,12067,243372.76,16
S024,Bhubaneswar,East,718486.27,509898.8,208587.46,29.03,4785,71217.82,14
S025,Kochi,South,1660494.35,1268929.83,391564.52,23.58,10408,195271.41,24
S026,Indore,Central,3805478.03,2843706.34,961771.69,25.27,25855,647449.98,12
S027,Gurugram,North,2206564.52,1559773.84,646790.68,29.31,14683,247237.61,48
S028,Bengaluru,South,6331205.86,5019592.18,1311613.68,20.72,42203,918186.12,64
S029,Chennai,South,3219541.02,2176126.63,1043414.39,32.41,21635,472620.63,59
S030,Kochi,South,661426.76,485790.5,175636.26,26.55,3554,72641.34,14
S031,Kolkata,East,1439589.97,1006184.56,433405.41,30.11,9356,214179.91,57
S032,Jaipur,North,1333896.49,922695.36,411201.13,30.83,8122,143461.21,22
S033,Kolkata,East,3124749.67,2122648.79,1002100.88,32.07,22432,352733.06,57
S034,Nagpur,Central,1398096.73,889635.29,508461.45,36.37,8820,193520.48,28
S035,Hyderabad,South,3679754.81,2604143.44,1075611.38,29.23,24163,505002.98,52
S036,Patna,East,1338167.37,1092437.26,245730.11,18.36,9055,161164.7,26
S037,Nagpur,Central,1196658.97,940063.94,256595.04,21.44,8361,140887.12,29
S038,Jaipur,North,2087140.69,1645511.35,441629.34,21.16,13577,324077.44,20
S039,Mumbai,West,5162695.62,3648498.41,1514197.21,29.33,33980,736430.03,99
S040,Gurugram,North,1454374.39,925236.04,529138.35,36.38,11298,116951.03,32
S041,Bhubaneswar,East,1195707.92,798682.04,397025.88,33.2,8719,104089.09,19
S042,Kolkata,East,5165300.56,3881321.85,1283978.71,24.86,35925,486130.8,48
S043,Indore,Central,1159436.92,746715.55,412721.36,35.6,7935,117687.42,29
S044,Ahmedabad,West,3034144.59,2091317.12,942827.47,31.07,22129,262013.76,41
S045,Bhubaneswar,East,1235627.31,899382.83,336244.48,27.21,8917,175591.92,22
S046,Bengaluru,South,4753178.29,3844609.78,908568.51,19.11,31997,800080.3,84
S047,Patna,East,1874721.14,1210507.57,664213.57,35.43,14126,253277.48,28
S048,Coimbatore,South,1828190.7,1433457.58,394733.12,21.59,11157,215213.19,24
S049,Hyderabad,South,3099055.04,1945563.9,1153491.14,37.22,19519,365781.44,69
S050,Nagpur,Central,1455895.6,1014874.72,441020.88,30.29,8693,150887.92,40
S051,Ahmedabad,West,4429633.74,3054973.63,1374660.1,31.03,29494,681354.73,44
S052,Hyderabad,South,3133220.4,2548925.27,584295.13,18.65,18893,465273.76,71
S053,Mumbai,West,8352016.36,5391543.49,2960472.88,35.45,56155,795262.42,113
S054,Pune,West,3038709.7,2225469.97,813239.73,26.76,20946,448187.32,38
S055,Lucknow,North,1434724.96,1042852.07,391872.89,27.31,8357,182104.63,16
S056,Hyderabad,South,2851205.67,1824763.01,1026442.66,36.0,18637,411024.4,67
S057,Nagpur,Central,1976063.42,1420009.32,556054.11,28.14,14996,183410.23,31
S058,Indore,Central,1289183.0,942058.37,347124.63,26.93,8286,209515.86,25
S059,Mumbai,West,8840115.52,7193470.64,1646644.88,18.63,59298,1407642.08,105
S060,Lucknow,North,1750073.68,1378526.31,371547.38,21.23,10371,225570.57,25
S061,Hyderabad,South,2318324.38,1706892.02,611432.36,26.37,15526,366888.31,57
S062,Patna,East,1728188.76,1385210.24,342978.52,19.85,9952,274133.01,33
S063,Chandigarh,North,444084.31,337955.65,106128.66,23.9,2644,49801.03,9
S064,Bhubaneswar,East,730411.61,489913.68,240497.93,32.93,6168,98721.1,3
S065,Ahmedabad,West,3074907.28,2364118.88,710788.4,23.12,20981,460800.66,40
S066,Patna,East,1021345.71,730816.75,290528.96,28.45,6860,122774.98,18
S067,Ahmedabad,West,1508128.17,948130.25,559997.91,37.13,10593,210210.68,43
S068,Chandigarh,North,926070.68,702963.79,223106.89,24.09,5542,161359.33,7
S069,Bhopal,Central,1064093.91,816607.1,247486.81,23.26,8467,180207.2,13
S070,Nagpur,Central,1956987.95,1344709.07,612278.88,31.29,13463,218796.97,21
S071,Bhubaneswar,East,999137.64,691472.2,307665.43,30.79,5873,102748.96,13
S072,Bhopal,Central,1349178.04,911980.54,437197.5,32.4,10549,136619.56,9
